pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Rapid Method for the Assembly of Nanoparticles with Targeting Ligands,,Nouvant,https://www.nouvant.com,Rihe Liu,http://technologies.unc.edu/inventors/18584855_rihe-liu,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent Pending US 2016/0303256,#11-0136
Composition of Novel Cationic Nanoparticles for the Delivery of siRNA Therapeutics in Lung Cancer,"Cationic nanoparticle formulations have been developed for the delivery of siRNA to tumor cells. siRNA therapeutics are promising treatments for many diseases, but they require delivery vehicles to efficiently transport them to their target cell. We have developed a cationic nanoparticle formulation that efficiently delivers siRNA to H460 human lung carcinoma cells. These nanoparticles were able efficiently deliver siRNA that silenced epidermal growth factor receptor (EFGR) expression. In addition an increase in apoptosis was observed when siRNA was administered in this manner, indicating a synergistic effect between the siRNA and the cationic nanoparticle delivery vehicle.",Novel Cationic Lipids That Deliver And Enhance Therapeutic Activity of siRNA In Tumor Cells,https://pubs.acs.org/doi/abs/10.1021/mp800136v,Leaf   Huang,http://technologies.unc.edu/inventors/18584833_leaf-huang,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent US 8389768,#08-0038
Method For Improving the Catalytic Activity of Lipases,"A method of improving the activity of Phospholipase C (PLC) has been discovered. Lipases are the most widely employed industrial biocatalysts. They are used to synthesize compounds for the pharmaceutical, cosmetic, food, chemical and energy industries. As a result, the global market for lipases is in the billions of dollars and growing. Improving the efficiency of lipases allows for the production cheaper products and the ability to apply lipase-based technologies to industries where the current limitations of lipases render them cost inefficient. This technology improves the efficiency of PLC via alkylation of its cysteine residues. We anticipate that this method is applicable to all lipases, creating an opportunity to improve a variety of important industrial processes.Advantages:-Improves activity of lipases-Enables significant cost reductions in the synthesis of select compounds in the pharmaceutical, cosmetic, food, chemical, and energy sectors.",Direct Activation of Human Phospholipase C by Its Well Known Inhibitor U73122,http://www.jbc.org/content/286/14/12407.short,Dhiren Thakker,http://technologies.unc.edu/inventors/18584830_dhiren-thakker,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent US 9416383,#08-0104
Composition of a Polypeptide for the Synthesis of Heparan Sulfate,"A novel isoform of 3-O-sulfotransferase that can be used for the synthesis of two separate forms of heparan sulfate (HS) has been discovered. Heparan sulfate can be isolated in many different isoforms that have unique properties and biological roles. The 3-O-sulfotranferase polypeptide sequence developed at UNC-Chapel Hill can be used to synthesize two separate types of HS: one form that can prevent blood clotting, and one subtype that is used by the herpes simplex virus to enter cells. This technology incorporates both the sequence of the polypeptide that can synthesize the two HSs, but also the genetic sequence that encodes it.Potential Uses:-Synthesis of anticoagulant therapies-Development of anti-viral therapies directed against herpes simplex virus-Potential target for gene therapies modulating heparan sulfate expression","Heparan Sulfate 3-O-Sulfotransferase Isoform 5 Generates Both an Antithrombin-binding Site and an Entry Receptor for Herpes Simplex Virus, Type 1",http://www.jbc.org/content/277/40/37912.short,Jian Liu,http://technologies.unc.edu/inventors/18584797_jian-liu,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent US 7531338,#02-0105
Composition and Method for Platelet-Based Drug Delivery,"A novel method of drug delivery utilizing rehydrated platelets has been developed. Platelets have long been recognized as potential drug delivery vehicles; however, the need to freshly isolate, modify, and reinfuse them in a short time-span has limited their applicability. Cryopreserved and normally-liquid stored platelets circumvent these problems, but suffer from storage issues and the need to remove cryopreservatives. We have discovered a method for utilizing fixed-dried blood platelets as drug carriers. This technology comprises a method of drying blood platelets, conjugating them to the compound to be delivered, rehydrating the platelets and administering the resulting rehydrated platelets. This technology is anticipated to be particularly effective for therapeutic delivery to the liver, spleen and injured organs.Advantages:-Rehydrated platelets avoid storage and purification problems associated with cryopreserved and liquid stored platelets-Can be used to deliver a variety of compounds to diseased, damaged, and disturbed tissues in vivo",Preservation of hemostatic and structural properties of rehydrated lyophilized platelets: potential for long-term storage of dried platelets for transfusion.,http://www.pnas.org/content/92/2/397.long,Thomas Fischer,http://technologies.unc.edu/inventors/18584792_thomas-fischer,Jackie Quay Director 919.966.3929,http://technologies.unc.edu/managers/370_jackie-quay,US Patent US 8492081,#00-0110
"Real-time, Automated Software for the Reduction of Ionizing Radiation Dosage for Angiography and Perfusion Analysis","This software reduces the amount of ionizing radiation required for digital subtraction angiography (DSA), computed tomography perfusion (CTP), and computed tomography angiography, reducing the risk of cancer and other injuries while still maintaining high-resolution capture of blood flow dynamics when imaging internal organs and tissues. Current applications include stroke diagnostics, tumor characterization, and quantification of vasospasm therapeutics.Software developed by physicians at UNC-CH reduces radiation exposures for DSA and CTP by factors of 4 and 20, respectively.",Nouvant,https://www.nouvant.com,Andrew Abumoussa,http://technologies.unc.edu/inventors/18585253_andrew-abumoussa,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Provisional Patent Application Filed ,#18-0002
"Bitwise Framework for Detection of Complicated Non-Parametric Dependence Structure in Big Data that is Scalable, Easily Interpretable, and Fast","Computer-based data analysis often relies on detecting linear associations between variables, which can be problematic and limiting in complex “Big Data” applications. Software, utilizing a novel bitwise statistical algorithm, has been developed to analyze complicated non-parametric dependence structure in Big Data. Relative to existing methods, our novel software provides enhanced power, interpretability, scalability, and speed. For example, when compared to distance correlation, the new software processes data up to 1000 times faster. Potential applications for the new software include genetic data analysis, image/pattern recognition, speech recognition, and medical screening.",Nouvant,https://www.nouvant.com,Kai Zhang,http://technologies.unc.edu/inventors/18585203_kai-zhang,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,Provisional Patent Application Filed ,#18-0084
Novel Algorithm for Artificial Intelligence (AI) Assisted Drug Design,"An algorithm that enables artificial intelligence (AI) to generate individual compounds and compound libraries with ideal biochemical and physiological profiles has been developed. Traditional drug discovery programs generally begin with an exhaustive high-throughput screen (HTS) of available compound libraries. However, because there are an estimated 1030-1060 theoretical drug-like molecules, these screens are never, in actuality, exhaustive. This technology has the potential to streamline the process of drug development by identifying lead compounds that already have the desired properties of a marketable drug.Advantages:-Can effectively screen more chemical space than high-throughput screening (HTS)-Allows for fully automated lead compound discovery-Identifies lead compounds that already have ideal ADME and PK properties",Deep Reinforcement Learning for De-Novo Drug Design,https://arxiv.org/pdf/1711.10907.pdf,Olexandr Isayev,http://technologies.unc.edu/inventors/18585088_olexandr-isayev,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application WO 2019/018780,#17-0164
A Method of Atrial Fibrillation Diagnosis,,A method for quantifying recurrent patterns of local wavefront direction during atrial fibrillation,https://www.sciencedirect.com/science/article/pii/S0010482517302871?via%3Dihub,James Hummel,http://technologies.unc.edu/inventors/18585251_james-hummel,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#18-0006
Prevention of Graft-Versus-Host Disease via A Small Molecule Method of CCR7 Inhibition,,Nouvant,https://www.nouvant.com,James Coghill,http://technologies.unc.edu/inventors/18585238_james-coghill,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#18-0016
Predictive Biomarker for Metformin Response in Endometrial Cancer,"An indicator of therapeutic response to metformin in endometrial cancer (EC) patients has been identified. In a subset of obese patients, preoperative metformin therapy has been linked to decreased tumor proliferation. Differential proteomic analysis of tumor cells collected from EC patient tissue revealed discrepancies in molecular signaling pathways between metformin responder and non-responder patients.",Increased efficacy of metformin corresponds to differential metabolic effects in the ovarian tumors from obese versus lean mice.,http://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=view&path%5B%5D=20754&pubmed-linkout=1,Victoria Bae-Jump,http://technologies.unc.edu/inventors/18585213_victoria-bae-jump,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#18-0050
Diagnostic Test for the Presence of HPV+ Oropharyngeal Cancers,, RNA Oncoimmune Phenotyping of HPV-Positive p16-Positive Oropharyngeal Squamous Cell Carcinomas by Nodal Status,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2678979,Trevor Hackman,http://technologies.unc.edu/inventors/18585194_trevor-hackman,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Provisional Patent Application Filed ,#18-0121
Small Molecules for the Treatment of Angelman Syndrome,"Small molecules that can unsilence the gene associated with Angelman syndrome have been discovered. Angelman syndrome is a rare neurodevelopmental disorder affecting 1 in 15,000 individuals. Angelman syndrome is caused by a mutation in the maternal copy of the Ube3a allele. UNC researchers have discovered that certain topoisomerase inhibitors can unsilence the paternal copy of the Ube3a allele, restoring normal protein expression. These molecules represent a therapy for Angelman syndrome. ",Topoisomerase inhibitors unsilence the dormant allele of Ube3a in neurons,https://www.nature.com/articles/nature10726,Ben Philpot,http://technologies.unc.edu/inventors/18584865_ben-philpot,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent US 9714427,#11-0003
"Small Molecules That Enhance Efficacy of Therapeutic Oligonucleotides, with Aerosolized Formulation for Lung Indications",,A Novel Family of Small Molecules that Enhance the Intracellular Delivery and Pharmacological Effectiveness of Antisense and Splice Switching Oligonucleotides.,https://www.ncbi.nlm.nih.gov/pubmed/28703575,Silvia Kreda,http://technologies.unc.edu/inventors/18585189_silvia-kreda,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,Provisional Patent Application Filed ,#18-0134
Humanized Antibody for the Treatment of Microvascular Complications of Diabetes,,An anti-aVß3 antibody inhibits coronary artery atherosclerosis in diabetic pigs.,https://www.atherosclerosis-journal.com/article/S0021-9150(17)30032-1/fulltext,David Clemmons,http://technologies.unc.edu/inventors/18584880_david-clemmons,Jennifer Dean  919.966.3929,http://technologies.unc.edu/managers/366_jennifer-dean,US Patent US 9073996,#12-0054
Compositions for Potentiating the Activities of Select Antibiotics Against S. aureus,"Potentiators of tobramycin against S. aureus have been developed to combat the highly tolerant nature of S. aureus to commonly used antibiotics. We have discovered certain rhamnolipids that, when administered to S. aureus, can facilitate the uptake of tobramycin, leading to a decrease in the minimum inhibitory concentration (MIC) of tobramycin, and an increase in its anti-biofilm activity. Treatment of S. aureus, in vitro, using these potentiators led to colony eradication in less than 3 hours.",Pseudomonas aeruginosa exoproducts determine antibiotic efficacy against Staphylococcus aureus.,https://www.ncbi.nlm.nih.gov/pubmed/29176757,Brian Conlon,http://technologies.unc.edu/inventors/18585114_brian-conlon,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,PCT Patent Application WO 2019/018594,#17-0128
Aerosolized Formulation of Pyrazinoic Acid for the Treatment of Tuberculosis,"Pyrazinamide (PZA) can shorten the treatment time of tuberculosis (TB) by six months and is the only drug deemed irreplaceable in the standard TB treatment regimen, yet approximately fifty percent of multiple drug resistant TB are resistant to PZA. It is believed that the use of the active form of PZA, pyrazinoic acid (POA), instead of PZA to treat TB could circumvent the problem of resistance. However, POA is not effective when administered orally. We have developed novel aerosolized formulations of POA and pyrazinoic acid esters (PAEs) that, when administered in a guinea pig model, significantly decrease the bacterial burden of the lungs. In addition, the above treatment was able to induce host-directed effects against TB, leading to a reduction of bacterial burden in the spleen, liver, and lymph nodes. The use of aerosolized POA/PAEs versus oral PZA circumvents problems with bioavailability and allows for a lower effective dose, thereby decreasing toxicity. This aerosolized POA represents a novel approach to the treatment of TB.Advantages:-Aerosolized formulation avoids problems associated with oral bioavailability and toxicity- Requires lower dosage than conventional treatment with PZA-In addition to the therapeutic effect in the lung, treatment has a systemic effect that increases clearance of TB in the spleen, liver, and lymph nodes",Inhaled Pyrazinoic Acid Esters for the Treatment of Tuberculosis.,https://www.ncbi.nlm.nih.gov/pubmed/27351427,Miriam Braunstein,http://technologies.unc.edu/inventors/18585147_miriam-braunstein,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,PCT Patent Application WO 2018/090004,#17-0068
CRISPR/Cas9 Gene Therapy for Angelman Syndrome,"A potential cure for Angelman syndrome (AS) has been developed utilizing CRISPR/Cas9 gene editing technology. AS is a rare neurodevelopmental disorder that affects approximately 1 in 15,000 people, causing severe intellectual disabilities, seizures, and mutism. AS is caused by a deletion or mutation in the maternal copy of the UBE3A allele. While individuals inherit one copy of UBE3A from their mother and another from their father, the paternal allele is naturally silenced. Gene therapy approaches are being developed which deliver a normal copy of UBE3A. However, this will likely be problematic since overexpression of UBE3A can lead to autism. We have discovered a means to alter the antisense transcript that is responsible for silencing the paternal copy of UBE3A using CRISPR/Cas9. This modification eliminates the transcript’s ability to bind with the paternal allele, thereby allowing for expression of functional UBE3A at normal levels from the paternal allele.",Nouvant,https://www.nouvant.com,Mark Zylka,http://technologies.unc.edu/inventors/18585201_mark-zylka,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,Provisional Patent Application Filed ,#18-0085
Mouse: 15-Hydroxyprostaglandin Dehydrogenase (PGDH) Deficient,,Metabolism of PGE2 by prostaglandin dehydrogenase is essential for remodeling the ductus arteriosus.,http://www.nature.com/articles/nm0202-91,Beverly Koller,http://technologies.unc.edu/inventors/18585182_beverly-koller,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#18-0137
Robust Chauvenet Rejection (RCR),,Nouvant,https://www.nouvant.com,Daniel Reichart,http://technologies.unc.edu/inventors/18585132_daniel-reichart,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Software Download,#17-0086
Image Metrics Software,,Nouvant,https://www.nouvant.com,Dorothy Erie,http://technologies.unc.edu/inventors/18585124_dorothy-erie,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Software Download,#17-0113
Improved Image and Video Decompression,"A technique for image and video decompression has been developed that respects intensity and spatial uncertainty in the encoded stream to significantly improve the perceived quality of final image or video output. This technique avoids spatial and intensity thresholding artifacts by adding noise and spatial blurring into the data stream during the decompression process; these decrease “banding” and “blocking” artifacts that commonly occur upon image reconstruction and detract from overall image quality. The method runs at full video rate on a commodity GPU and is particularly well suited for improving the user experience on high resolution cell phones, televisions, and computers where users commonly stream highly-compressed images or videos that are not well matched to the screen resolution of their device.Advantages:
Significantly improves image or video output quality of compressed data
Implementable on commodity hardware
Improves user experience when streaming highly-compressed data to high resolution screen",Nouvant,https://www.nouvant.com,Russell Taylor,http://technologies.unc.edu/inventors/18585126_russell-taylor,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US-2019-0020903,#17-0108
UNC Check-In App,ITS Teaching and Learning has partnered with UNC Chapel Hill faculty to create the UNC Check-In app to facilitate taking attendance during classes and other events. The app allows instructors to specify brief time intervals during which students can register attendance when in proximity to designated Bluetooth beacons.iTunes:https://itunes.apple.com/us/app/unc-check-in/id1296004763Google Play:,https://itunes.apple.com/us/app/unc-check-in/id1296004763,https://itunes.apple.com/us/app/unc-check-in/id1296004763,Viji Sathy,http://technologies.unc.edu/inventors/18585197_viji-sathy,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Peter Liao Commercialization Manager 919.843.5028,#18-0118
Diabetes Education Board Game,,Nouvant,https://www.nouvant.com,Nina Jain,http://technologies.unc.edu/inventors/18585104_nina-jain,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Peter Liao Commercialization Manager 919.843.5028,#17-0138
Innovation & Entrepreneurship Database,"The UNC Innovation and Entrepreneurship Database, built on the Salesforce.com platform, is a shared database for information gathering from stakeholders and for report generation for metrics, including being used to produce impact reports.Database capabilities include:
Tracking of inventors and entrepreneurs
Tracking of startups
Repository for real-time data on startups/spinouts
Tracking of startups/entrepreneurs participation in commercialization support programs and events
Repository of advisors, mentors, subcontractors, and investment specialists
This system provides",Nouvant,https://www.nouvant.com,Cindy Reifsnider,http://technologies.unc.edu/inventors/18585008_cindy-reifsnider,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Peter Liao Commercialization Manager 919.843.5028,#16-0174
COLMAP: Image-based 3D Reconstruction,COLMAP is a general-purpose Structure-from-Motion (SfM) and Multi-View Stereo (MVS) pipeline with a graphical and command-line interface. It offers a wide range of features for reconstruction of ordered and unordered image collections.Image-based 3D reconstruction from images traditionally first recovers a sparse representation of the scene and the camera poses of the input images using Structure-from-Motion. This output then serves as the input to Multi-View Stereo to recover a dense representation of the scene.Additional information:,https://colmap.github.io,https://colmap.github.io,Jan-Michael Frahm,http://technologies.unc.edu/inventors/18585096_jan-michael-frahm,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,Peter Liao Commercialization Manager 919.843.5028,#17-0157
Physics-Inspired Garment Recovery from a Single-View Image,"Most recent garment capturing techniques rely on acquiring multiple views of clothing, which may not always be readily available, especially in the case of pre-existing photographs from the web. This technology provides a method that is able to compute a rich and realistic 3D model of a human body and its outfits from a single photograph with little human interaction. The algorithm is not only able to capture the global shape and geometry of the clothing, it can also extract small but important details of cloth, such as occluded wrinkles and folds. Unlike previous methods using full 3D information (i.e. depth, multi-view images, or sampled 3D geometry), this approach achieves detailed garment recovery from a single-view image by using statistical, geometric, and physical priors and a combination of parameter estimation, semantic parsing, shape recovery, and physics- based cloth simulation. The technology has applications in virtual try-on and garment transfer applications, as well as cloth animation for digital characters.Video: http://www.cs.unc.edu/~alexyang/videos/iccvdemo.mp4",http://www.cs.unc.edu/~alexyang/videos/iccv,http://www.cs.unc.edu/~alexyang/videos/iccv,Shan Yang,http://technologies.unc.edu/inventors/18585011_shan-yang,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US-2019-0043269,#16-0167
Efficient Digital Forensics Support Using a Virtualized Environment,"This technology provides a forensic platform that transparently monitors and records data access events within a virtualized environment. It accomplishes this using an architecture for efficiently and transparently recording the accesses to monitored objects – the approach monitors accesses to objects on disk and follows the causal chain of these accesses across processes, even after the objects are copied into memory. Its forensic layer records these transactions in a version-based audit log that allows for faithful, and efficient, reconstruction of the recorded events and the changes they induced. This platform can be used to glean insightful information on behavioral profiles of malware activity after a security breach has been detected and reconstruct valuable information about the what, when, and how, after a compromised has been detected. ",Trail of bytes: efficient support for forensic analysis,https://dl.acm.org/citation.cfm?id=1866314,Fabian Monrose,http://technologies.unc.edu/inventors/18584859_fabian-monrose,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,721,089",#11-0094
Acoustic Classification and Optimization for Multi-Modal Rendering of Real-World Scenes,,Acoustic Classification and Optimization for Multi-Modal Rendering of Real-World Scenes,http://ieeexplore.ieee.org/document/7849179/,Carl Schissler,http://technologies.unc.edu/inventors/18585128_carl-schissler,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 20180232471,#17-0090
Diagnostic Test for Autism in Infancy,,Early brain development in infants at high risk for autism spectrum disorder,https://www.nature.com/articles/nature21369,Martin Styner,http://technologies.unc.edu/inventors/18585003_martin-styner,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,PCT Patent Application WO 2018/005820,#16-0180
Diagnostic Test for Autism in Infancy,,Functional neuroimaging of high-risk 6-month-old infants predicts a diagnosis of autism at 24 months of age,http://stm.sciencemag.org/content/9/393/eaag2882,Robert Emerson,http://technologies.unc.edu/inventors/18585002_robert-emerson,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,PCT Patent Application WO 2018/005814,#16-0185
Wide Field of View Augmented Reality Head-Mounted Display with Distance Accommodation,,Wide field of view varifocal near-eye display using see-through deformable membrane mirrors,http://ieeexplore.ieee.org/abstract/document/7829412/,Henry Fuchs,http://technologies.unc.edu/inventors/18584998_henry-fuchs,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,983,412",#16-0189
Topology Aware Geographic Routing,,Analysis of Topology Algorithms for Commercial Airborne Networks,http://ieeexplore.ieee.org/abstract/document/6980399/,Benjamin Newton,http://technologies.unc.edu/inventors/18584996_benjamin-newton,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,832,705",#16-0194
Interactive Sound Propagation and Rendering for Scenes with High Aural Complexity,,Interactive Sound Propagation and Rendering for Large Multi-Source Scenes,https://dl.acm.org/citation.cfm?id=2943779,Carl Schissler,http://technologies.unc.edu/inventors/18584995_carl-schissler,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,977,644",#15-0003
A Parallel ARD-based Wave Simulator for Distributed Memory Architectures,,A parallel time-domain wave simulator based on rectangular decomposition for distributed memory architectures,https://www.sciencedirect.com/science/article/pii/S0003682X15001024,Nicolas Morales,http://technologies.unc.edu/inventors/18584914_nicolas-morales,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,824,166",#14-0093
High-Order Diffraction and Diffuse Reflections For Interactive Sound Propagation in Large Environments,"Virtual environments such as cities, auditoriums, offices, and factories can span extremely large areas and may be composed of many moving sources and objects. Accurate sound propagation in these environments requires modeling complex acoustic effects such as reflections, scattering between objects, high-order diffractions, late reverberation, echoes, etc. New algorithms to enable interactive geometric sound propagation in complex scenes have been developed that can generate plausible sound effects at interactive rates in large, dynamic scenes that have multiple sound sources. A novel algorithm to compute diffuse reflections and higher order diffraction based on ray-based sound propagation is used that is directly applicable to complex geometric datasets. Furthermore, algorithms for wavelength-dependent simplification and visibility graph computation to accelerate higher-order diffraction at runtime are also described. Together these technologies result in an order-of-magnitude performance increase over prior methods with comparable accuracy.",High-order diffraction and diffuse reflections for interactive sound propagation in large environments,https://dl.acm.org/citation.cfm?id=2601216,Carl Schissler,http://technologies.unc.edu/inventors/18584912_carl-schissler,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2015/0378019,#14-0094
Sound Propagation in Large Complex Environments Using Wave-Ray Coupling,"Accurate sound propagation has become fundamental to many interactive (i.e. gaming and virtual reality) and offline (i.e. noise prediction in urban scenes, architectural acoustics, and prototyping) applications. Many wave-based techniques for sound propagation are spatially limited and limited to low frequency applications due to computational complexity. On the other hand, geometric techniques for sound propagation are unable to simulate many acoustic effects (i.e. diffraction, interference, and higher-order wave effects) at low frequencies. A new hybrid technique for interactive sound propagation in large, complex indoor and outdoor scenes has been developed that combines the strengths of numerical and geometric acoustic techniques for the different parts of the domain. The more accurate and costly numerical technique is used to model wave phenomena in near-object regions, while the more efficient geometric technique is used to handle propagation in far-field regions and interaction with the environment. The sound pressure field generated by the two techniques is coupled using a novel two-way coupling procedure. The new technique can simulate realistic, high-fidelity acoustic effects using orders of magnitude lower memory than standard wave-based numerical techniques.",Wave-ray coupling for interactive sound propagation in large complex scenes,https://dl.acm.org/citation.cfm?id=2508420,Hengchin Yeh,http://technologies.unc.edu/inventors/18584891_hengchin-yeh,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2015/0294041,#13-0089
Optical See-Through Near-Eye Display Using Point Light Source Backlight,"The invention is a design for a near-eye display that allows direct viewing through the device (i.e. optical see-through). The near-eye display uses a series of point light sources to direct light through a spatial light modulator into the eyes. The geometry of the light sources, spatial light modulator, and viewer are arranged so that each pixel on the spatial light modulator is illuminated by a single light source, allowing a clear image to be formed on the eye. The spatial light modulator and backlight are transparent or nearly-transparent, allowing the user’s environment to be seen through the display. This design may be useful to create a wide field of view augmented reality display in a compact, eyeglasses-like form factor. ",Pinlight Displays: Wide Field of View Augmented Reality Eyeglasses Using Defocused Point Light Sources,https://dl.acm.org/citation.cfm?id=2614080,Andrew Maimone,http://technologies.unc.edu/inventors/18584885_andrew-maimone,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US 2016/0320620,#13-0120
Sound Propagation in Large Scenes using Equivalent Sources,"Interactive, wave-based sound propagation that captures important acoustic phenomena (i.e. interference, diffraction, scattering, sound focusing, and high-order wave effects) for large, open virtual environments or scenes found in simulation and training systems or in video games can take hours of computation and gigabytes of memory even while using state-of-the-art wave simulation methods. A new object-centric algorithm for wave-based sound propagation that captures acoustic effects such as high-order diffraction and scattering using an equivalent source formulation has been developed. During preprocessing, the method uses object-based sound field decomposition to segment a scene into well-separated, rigid objects. The acoustic behavior of the objects and inter-object interactions is expressed by matrix-based transfer functions using an equivalent source formulation that can then be used to compute the acoustic response of the scene to a static source distribution. At runtime, summation of outgoing equivalent sources for all objects is performed at the listener location for real-time sound rendering for a moving listener. Scenes with moving sources and a static listener can be handled by exploiting acoustic reciprocity. The technique can perform accurate sound propagation on large, open scenes in real-time, has a small memory footprint, and allows flexible efficiency-accuracy tradeoffs.",Wave-based sound propagation in large open scenes using an equivalent source formulation,https://dl.acm.org/citation.cfm?id=2451245,Ravish Mehra,http://technologies.unc.edu/inventors/18584881_ravish-mehra,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,711,126",#12-0052
Example-Guided Sound Synthesis,,Example-guided physically based modal sound synthesis,https://dl.acm.org/citation.cfm?id=2421637,Ming Lin,http://technologies.unc.edu/inventors/18584878_ming-lin,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,401,684",#12-0086
Fast Geometric Sound Propagation using Visibility Computations,"In order to create immersive, multimodal virtual reality for use in interactive applications, geometric acoustic algorithms that can quickly and efficiently compute sound propagation paths for complex 3D models and virtual environments at high frame rates on commodity hardware are needed. A new method for simulation of sound propagation has been developed that harnesses geometric acoustics and conservative visibility techniques to quickly and accurately compute sound propagation paths of complex scenes. From a defined sound source position in a given scene, a complex visibility tree can be constructed. This method uses conservative (e.g. occlusion culling) from-region visibility techniques to model sound diffraction and conservative from-point visibility techniques to model specular sound reflections to significantly reduce the complexity of the visibility tree. The new simplified tree can then be used to generate an impulse response for the scene and in turn quickly and accurately simulate sound propagation in the scene.Advantages:Faster and more efficient than approaches using exact from-point visibility algorithms",Fast and Accurate Geometric Sound Propagation Using Visibility Computations,http://journals.sagepub.com/doi/abs/10.1260/1351-010X.18.1-2.123,Dinesh Manocha,http://technologies.unc.edu/inventors/18584863_dinesh-manocha,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 8,847,965",#11-0047
Synthetic polymer networks with tissue-like properties,,Mimicking biological stress–strain behaviour with synthetic elastomers,https://www.nature.com/articles/nature23673,Sergei Sheiko,http://technologies.unc.edu/inventors/18585224_sergei-sheiko,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Biomaterials: Don't stress over it,#18-0030
